domain,size,share,conc,irr,beta_star,s,throughput,reach,switch,conc_proxy,is_extreme,behavior,share_proxy_norm,b,risk,selected,extreme_row
S,1.1379048826407028,0.20448796635734773,0.3145011955180104,0.8058974376425851,0.4798975680876005,0.11879835124694538,0.7447578436450003,0.2148280094014277,0.13104172078067797,0.2989268842793035,False,0.41597404739277755,0.18962563659948092,0.20857430413950992,0.5034781971787363,False,False
S,5.377297546137177,0.957851603201066,0.3145011955180104,0.6854843187349638,0.8,0.24240934329194821,4.23868774782084,0.8721618880108809,0.974398958859236,0.8624204355900311,True,0.8716772786185122,0.9999999989243251,0.9179957585033678,1.7769690675955505,False,True
S,1.6184973436754357,0.5468249291246564,0.3145011955180104,0.7762733982868264,0.6666689220945409,0.32367185496015066,1.2273111093607856,0.9257521111830253,0.4038542250333148,0.55964220997332,False,0.5999903556031856,0.5578689182437361,0.7005801448442905,0.9719576100570032,False,False
S,1.3867952276149513,0.3097836253542254,0.3145011955180104,0.7805992609988712,0.5968289730984001,0.3293261603878786,0.7971086450298415,0.7529086719309552,0.4993637235657658,0.5096587391366993,False,0.6524477802195126,0.30288953512352135,0.56588465555518,0.6913681016369497,False,False
G,1.9288469835448345,0.2130848486702344,0.20090044181351557,0.21283317534541135,0.30447896632468224,0.4680814976371142,2.5871129809052817,0.1692918658992817,0.2558382603010702,0.32800314078351667,False,0.3307390554923222,0.19887308720842564,0.2134758216194712,0.426278170280199,True,False
G,1.196066685952032,0.21752230877648532,0.20090044181351557,0.1917509416413963,0.16564340797867827,0.22509063680306712,1.1510158197320306,0.3394672764221453,0.3422701826453418,0.3829600104928189,False,0.2704300063454289,0.2036463517092327,0.3124563912879977,0.4509608567504576,False,False
G,1.201657283346355,0.2347039739014179,0.20090044181351557,0.6657033495854657,0.5727294074340984,0.2054925698925522,1.3255242504799545,0.46034475934625035,0.4787178077264225,0.4005660293626481,False,0.8862446512810538,0.2221282377976432,0.3945797767185841,0.4782717512597326,True,False
G,1.305482626903958,0.028202701337913447,0.20090044181351557,0.051456295440460445,0.10036910476587703,0.17732833850739788,1.8398096113070797,0.2524266681351947,0.07483322537400751,0.05813238128072579,False,0.2455372665871341,0.0,0.1335368416590476,0.6297056920956994,False,False
G,1.03092350691049,0.424313111068586,0.20090044181351557,0.20151884352832566,0.22473400184656078,0.15365231883747846,1.1016195579912513,0.14435864360532016,0.9331913336486886,0.36814448721840193,False,0.17843067086832007,0.4260860293716512,0.36668327009537044,0.4681791477716779,False,False
G,1.0768812098201057,0.0702448378748494,0.20090044181351557,0.1733106809785342,0.10304983223080864,0.04667985905705518,0.7158700125767049,0.23859783750138844,0.13177244447032924,0.15615614520925739,False,0.20748402009621014,0.045223671439243024,0.16186423318737353,0.6155270901773404,False,False
G,1.1144962643227985,0.43944139892399037,0.20090044181351557,0.2567816635574986,0.20743580587063573,0.21161717678446204,0.9238879261664419,0.1934658573913745,0.11650163307316513,0.08711305796217919,False,0.3558401480891543,0.44235914905028684,0.2281916267439919,0.5262963931581418,False,False
G,1.7993727858880901,0.1601053277082101,0.20090044181351557,0.041899401656389126,0.08403701591231047,0.07027147795718354,2.60480174921499,0.206575520354728,0.07915141581199486,0.03674696733277076,False,0.15662651321357127,0.14188434576113643,0.14581482807162657,0.6826341802025313,False,False
G,2.994848310799021,0.18496189006723274,0.20090044181351557,0.17342339730490655,0.26952008904422986,0.05169954103417446,2.9414051686243816,0.29787137150950305,0.12322650395268141,0.4515290365210638,False,0.4074441646812778,0.16862192624175537,0.262410929810777,0.4654243443349113,True,False
G,1.157859574055917,0.09525982492689353,0.20090044181351557,0.0769816006178049,0.13302569511924933,0.6857099893768096,0.7072413159889194,0.37011394134404785,0.05806552730187903,0.05361358760903111,False,0.0,0.07213166538728344,0.2013360571882789,0.43723670798073533,False,False
G,2.6320730184178873,0.5627117836378824,0.20090044181351557,0.09648571744038598,0.35513866807061145,0.24070649652132256,1.8460504782611091,0.09486309143926405,0.1060365492032977,0.271399124443832,False,0.2747180624983212,0.5749580090438191,0.24304324445569306,0.4682509979561663,True,False
G,1.5217945183754042,0.42030929363929126,0.20090044181351557,0.16736469497071782,0.17564552319380541,0.3370803868092496,0.965381227202206,0.04336723450067216,0.16501230673974057,0.28066502313714264,False,0.19864205536871202,0.42177922341838897,0.1918116608614322,0.4632719013858902,False,False
G,1.1806555902572584,0.19294157608688686,0.20090044181351557,0.045687406558469756,0.1221207082385988,0.11772099673576283,1.3344183895168844,0.0,0.023472973947724556,0.016897797729344154,False,0.1920094391505145,0.17720547428347103,0.05035698432242806,0.7977008506711512,False,False
G,1.0743202879844491,0.038647155516508526,0.20090044181351557,0.11643788415884022,0.07209252339913971,0.2876773629437252,0.7962755465834684,0.15116550608758572,0.05370410200741602,0.04583222873386878,False,0.09799197157060228,0.011234837309470303,0.08576363667797386,0.6365967368082132,False,False
G,1.360099053877907,0.06569846087553718,0.20090044181351557,0.06975354975594562,0.1338904996310863,0.14693411720890687,1.297061111286467,0.14963659053840533,0.1293036469489225,0.0443049978312185,False,0.23825960696380866,0.04033324776928526,0.10346107440162486,0.687495757892049,False,False
G,3.1263902487937063,0.5806424213474135,0.20090044181351557,0.5947121619074405,0.7531613098773169,0.29942574550140083,2.3595146314296622,0.9243140665643427,0.5174125146885707,0.8568959082639549,False,1.0,0.5942455461498254,0.7706489799342894,1.3050333762821047,False,False
G,1.3238080446320992,0.6666502051197402,0.20090044181351557,0.372899267196869,0.22806729369142745,0.11017970389194291,1.561737976960223,0.3348977130024699,0.14434006834059315,0.22061606187339858,False,0.2667500951336912,0.6867619612259235,0.377137880689691,0.48080578266463203,False,False
G,1.7881505053891034,0.5209324359245684,0.20090044181351557,0.23069754823981747,0.16188332534133013,0.1549921264218089,1.2053945360444425,0.3314254016342069,0.4103054859393425,0.26217431340669745,False,0.06836877280054374,0.5300170129487976,0.3825176538744985,0.47640649544962166,False,False
G,1.1472535459122866,0.10934073383074448,0.20090044181351557,0.12006047114373146,0.10302260105063167,0.23434254992110767,1.4411978423991905,0.228940767582187,0.16245125390098025,0.12038028104563595,False,0.0,0.08727814580637959,0.16726761210557148,0.5497739764069354,False,False
G,1.047586320920738,0.223840112758787,0.20090044181351557,0.45901977062575955,0.2821915949808953,0.37662514075074016,0.6834644062593571,0.3582796839385525,0.32004514771891757,0.1694802499889263,False,0.5269532107791914,0.21044225493984375,0.2872652311634861,0.45614824031082946,False,False
